Author,Title,Location,Author,,,,,,,,,,,
", ",Further Mathematics,,,,,,,,,,,,,
"Helbing, Dirk",Next Civilization: Digital Democracy and Socio-Ecological Finance - How to Avoid Dystopia and Upgrade Society by Digital Means,E56,Dirk,Helbing,,,,,,,,,,
"Helbing, Dirk",The Automation of Society is Next: How  to Survive the Digital Revolution,E56,Dirk,Helbing,,,,,,,,,,
"Helbing, Dirk",Social Self-Organization: Agent-Based Simulations and Experiments to Study Emergent Social Behaviour (Understanding Complex Systems),E56,Dirk,Helbing,,,,,,,,,,
"Glaeser, Edward","Triumph of the City: How our Greatest Invention makes us richer, smarter, greener, healthier, and happier",162,Edward,Glaeser,,,,,,,,,,
"Afken, Afken","Mathemtical Methods for Physicists: A Comprehensive Guide, 7th edition",162,George B.,Afken,Afken,et,al.,,,,,,,
"Wasserman, Larry",All of Statistics: A Concise Course in Statistical Inference,162,Larry,Wasserman,,,,,,,,,,
"Musada,, Naoki",A Guide to Temporal Networks,E56,Naoki,"Musada,",Renaud,Lambiotte,,,,,,,,
"Hollis-Brusky, Amanda",Ideas with Consequences: The Federalist Society and the Conservative Counterrevolution,165,Amanda,Hollis-Brusky,,,,,,,,,,
"Bessen, James","The New Goliaths: How Corporations use software to dominate industries, kill innovation and undermine regulation",165,James,Bessen,,,,,,,,,,
"Christian, Brian, Tom Griffiths",Algorithms to Live by: The Computer Science of Human Decisions,161,"Brian, Tom Griffiths",Christian,and,Tom,Griffiths,,,,,,,
"Schimel, Joshua",Writing Science: How to write papers that get cited and proposal that get funded,164,Joshua,Schimel,,,,,,,,,,
"Larivière, Vincent",Equity for Women in Science: Dismantling Systemic Barriers to Advancement ,162,Vincent,Larivière,,,,,,,,,,
"Mackay, David","Information Theory, Inference and Learning Algorithms",162a,David,Mackay,,,,,,,,,,
", ",Mastering Metrics: The Path from Cause to Effect,E56,,,,,,,,,,,,
"Landauer, Thomas K.",Handbook of Latent Semantic Analysis,,Thomas K.,Landauer,Landauer,,,,,,,,,
"Angrist, Joshua David",Mostly Harmless Econometrics: An Empiricist's Companion,,Joshua David,Angrist,Angrist,,,,,,,,,
"Utts , Jessica M.",Seeing Through Statistics,164,Jessica M.,Utts ,Utts ,,,,,,,,,
"Witte ,  Robert S.",Statistics,164, Robert S.,Witte ,Witte ,,,,,,,,,
"Mossbrucker, Daniel",Direkt vor unseren Augen,162a,Daniel,Mossbrucker,,,,,,,,,,
"Mackenzie, Donald",Inventing Accuracy: A Historical Sociology of Nuclear Missile Guidance,165,Donald,Mackenzie,,,,,,,,,,
"Dorogovtsev, Sergey",The Nature of Complex Networks,E56,Sergey,Dorogovtsev,,,,,,,,,,
"Holme, ",Temporal Network Theory (Computational Social Sciences),E56,,Holme,,,,,,,,,,
"Huntington-Klein, Nick",The Effect: An Introduction to Research Design and Causality,E56,Nick,Huntington-Klein,,,,,,,,,,
"O'Connor, Cailin",The Origins of Unfairness: Social Categories and Cultural Evolution,160,Cailin,O'Connor,,,,,,,,,,
"Crawford, Kate","Atlas of AI: Power, Politics, and the Planetary Costs of Artifical Intelligence",160,Kate,Crawford,,,,,,,,,,
"Hidalgo, César A.",How Humans Judge Machines,160,César A.,Hidalgo,Hidalgo,,,,,,,,,
"O'Neil, Cathy",Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,160,Cathy,O'Neil,,,,,,,,,,
"Shneiderman, Ben",Human-Centered AI,160,Ben,Shneiderman,,,,,,,,,,
"Huntington-Klein, Nick",The Effect: An Introduction to Research Design and Causality,E56,Nick,Huntington-Klein,,,,,,,,,,
"Saramäki, Jari",Temporal Network Theory (Computational Social Sciences),E56,Jari,Saramäki,,,,,,,,,,
"Hidalgo, César A.",How Humans Judge Machines,160,César A.,Hidalgo,Hidalgo,,,,,,,,,
"Dolata, Ulrich",The Transformative Capacity of New Technologies: A Theory of Sociotechnical Change,163,Ulrich,Dolata,,,,,,,,,,
"Schumpeter, Joseph A.",The Theory of Economic Development,E56,Joseph A.,Schumpeter,,,,,,,,,,
"Miller, John H.",EX MACHINA Coevolving Machines & the Origins of the Social Universe,165,John H.,Miller,Miller,,,,,,,,,
"Johnson, C. Hughes",Scaling People: Tactics for Management and Company Building,165,C. Hughes,Johnson,,,,,,,,,,
"Sowell, Thomas",Migrations and Cultures: A World View,163,Thomas,Sowell,,,,,,,,,,
"Farmer, J. Doyne",Making Sense of Chaos. A better Economics for a better World,156a,J. Doyne,Farmer,Farmer,,,,,,,,,
